uuid,title,slide_url,paper_url
7002c1cc-f63c-4d70-8694-b15495c20b5c,Learning Temporally Causal Latent Processes from General Temporal Data,iclr.cc/media/iclr-2022/Slides/6675.pdf,openreview.net/pdf?id=RDlLMjLJXdq
5e2a2db4-0af6-43cb-9d9d-323a1f426cd7,Dropout Q-Functions for Doubly Efficient Reinforcement Learning,iclr.cc/media/iclr-2022/Slides/6233.pdf,openreview.net/pdf?id=xCVJMsPv3RT
cfcf9599-578d-45d5-80a0-d0e82f614bd5,"Learning Fast, Learning Slow: A General Continual Learning Method based on Complementary Learning System",iclr.cc/media/iclr-2022/Slides/6559.pdf,openreview.net/pdf?id=uxxFrDwrE7Y
17fb5413-ac04-4ea9-a94b-0b44a32118e1,Generalisation in Lifelong Reinforcement Learning through Logical Composition ,iclr.cc/media/iclr-2022/Slides/6562.pdf,openreview.net/pdf?id=ZOcX-eybqoL
590c3636-4123-4f00-b199-1e2703919ba7,Bootstrapping Semantic Segmentation with Regional Contrast,iclr.cc/media/iclr-2022/Slides/6375.pdf,openreview.net/pdf?id=6u6N8WWwYSM
62f711bd-ec6b-4582-a85c-0baa49f50099,Who Is Your Right Mixup Partner in Positive and Unlabeled Learning,iclr.cc/media/iclr-2022/Slides/5904.pdf,openreview.net/pdf?id=NH29920YEmj
dfb6d08e-59d5-426d-aff7-fcfb4bd0e42e,Constrained Policy Optimization via Bayesian World Models,iclr.cc/media/iclr-2022/Slides/6499.pdf,openreview.net/pdf?id=PRZoSmCinhf
94f7a931-35d7-46b5-9e01-63af493055f0,PriorGrad: Improving Conditional Denoising Diffusion Models with Data-Dependent Adaptive Prior,iclr.cc/media/iclr-2022/Slides/6445.pdf,openreview.net/pdf?id=_BNiN4IjC5
9aef3810-e166-45e2-8678-6eb650cd0d6a,The Role of Permutation Invariance in Linear Mode Connectivity of Neural Networks,iclr.cc/media/iclr-2022/Slides/6604.pdf,openreview.net/pdf?id=dNigytemkL
b31874ae-3464-4f3d-8b0d-d32a6e2e431b,Scale Mixtures of Neural Network Gaussian Processes,iclr.cc/media/iclr-2022/Slides/6289.pdf,openreview.net/pdf?id=YVPBh4k78iZ
ec6fd80d-8854-43dd-be7b-8c8e51639671,Understanding and Improving Graph Injection Attack by Promoting Unnoticeability,iclr.cc/media/iclr-2022/Slides/6046.pdf,openreview.net/pdf?id=wkMG8cdvh7-
f2a2a9cd-b94c-428a-b148-c526a4ad10cc,MetaShift: A Dataset of Datasets for Evaluating Contextual Distribution Shifts and Training Conflicts,iclr.cc/media/iclr-2022/Slides/6433.pdf,openreview.net/pdf?id=MTex8qKavoS
a03c9719-e98f-48cc-8e59-09d642096316,Training Structured Neural Networks Through Manifold Identification and Variance Reduction,iclr.cc/media/iclr-2022/Slides/6536.pdf,openreview.net/pdf?id=mdUYT5QV0O
44566257-82c6-4910-b500-983cc6f72e45,Expressivity of Emergent Languages is a Trade-off between Contextual Complexity and Unpredictability,iclr.cc/media/iclr-2022/Slides/6566.pdf,openreview.net/pdf?id=WxuE_JWxjkW
6ca5ddf5-83bb-4897-b821-2124f5548b71,Evidential Turing Processes ,iclr.cc/media/iclr-2022/Slides/6361_iP6MRmx.pdf,openreview.net/pdf?id=84NMXTHYe-
02744de2-3da7-417c-8df3-83c5ec493a08,PF-GNN: Differentiable particle filtering based approximation of universal graph representations,iclr.cc/media/iclr-2022/Slides/5982.pdf,openreview.net/pdf?id=oh4TirnfSem
0862c5aa-6737-42c8-8eed-b6fd55f0e095,Task Affinity with Maximum Bipartite Matching in Few-Shot Learning,iclr.cc/media/iclr-2022/Slides/6214.pdf,openreview.net/pdf?id=u2GZOiUTbt
e57b6a87-f33c-49ba-801c-0ed2df5efb58,A Generalized Weighted Optimization Method for Computational Learning and Inversion,iclr.cc/media/iclr-2022/Slides/7110.pdf,openreview.net/pdf?id=14F3fI6MGxX
d61f5e72-f524-4c4e-81c7-6be73cd1a87a,Understanding Intrinsic Robustness Using Label Uncertainty,iclr.cc/media/iclr-2022/Slides/6167.pdf,openreview.net/pdf?id=6ET9SzlgNX
b34de51d-b8c1-4e4e-b6c6-5ef660283c9d,Learning Transferable Reward for Query Object Localization with Policy Adaptation,iclr.cc/media/iclr-2022/Slides/6128.pdf,openreview.net/pdf?id=92tYQiil17
