uuid,title,slide_url,paper_url
06f4ba4a-3762-43a7-81b0-85485687a9ef,Exact Optimal Accelerated Complexity for Fixed-Point Iterations,icml.cc/media/icml-2022/Slides/17040_tMvH5zY.pdf,proceedings.mlr.press/v162/park22c/park22c.pdf
384be69f-1c5d-46d6-8330-005b700de1a4,Online Learning for Min Sum Set Cover and Pandora’s Box,icml.cc/media/icml-2022/Slides/17418.pdf,proceedings.mlr.press/v162/gergatsouli22a/gergatsouli22a.pdf
a8427f98-c56a-44e6-9008-49dd3d81c573,Tackling covariate shift with node-based Bayesian neural networks,icml.cc/media/icml-2022/Slides/17368_nXMQMZ0.pdf,proceedings.mlr.press/v162/trinh22a/trinh22a.pdf
7c96f6a2-4093-4945-ab87-1dc29f0425e3,Dynamic Regret of Online Markov Decision Processes,icml.cc/media/icml-2022/Slides/17646.pdf,proceedings.mlr.press/v162/zhao22c/zhao22c.pdf
d2c37a75-c8e0-4cd3-84eb-4d4a8c775a11,Multi-Task Learning as a Bargaining Game,icml.cc/media/icml-2022/Slides/17114.pdf,proceedings.mlr.press/v162/navon22a/navon22a.pdf
21b3842d-e221-42ab-b7d5-be4ac2659282,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,icml.cc/media/icml-2022/Slides/16224.pdf,proceedings.mlr.press/v162/liang22b/liang22b.pdf
65d8a4d3-6ecf-423a-bc1a-9c338c325e86,Structural Entropy Guided Graph Hierarchical Pooling,icml.cc/media/icml-2022/Slides/15960.pdf,proceedings.mlr.press/v162/wu22b/wu22b.pdf
8aa3b0b0-601f-4736-b2b9-d4bf53fc62a2,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games,icml.cc/media/icml-2022/Slides/17014.pdf,proceedings.mlr.press/v162/loftin22a/loftin22a.pdf
7fa6bf24-4463-4bff-adb9-82a29daf249d,ButterflyFlow: Building Invertible Layers with Butterfly Matrices,icml.cc/media/icml-2022/Slides/16920.pdf,proceedings.mlr.press/v162/meng22a/meng22a.pdf
583e7cde-4d62-4b74-b9ae-3eeec473a918,Frustratingly Easy Transferability Estimation,icml.cc/media/icml-2022/Slides/17386.pdf,proceedings.mlr.press/v162/huang22d/huang22d.pdf
8f26133e-6238-4914-80ff-5ba7538fdb61,Self-Supervised Representation Learning via Latent Graph Prediction,icml.cc/media/icml-2022/Slides/15996.pdf,proceedings.mlr.press/v162/xie22e/xie22e.pdf
0b653827-7cc5-4438-8c25-07a3271ea1ad,DSTAGNN: Dynamic Spatial-Temporal Aware Graph Neural Network for Traffic Flow Forecasting,icml.cc/media/icml-2022/Slides/16008.pdf,proceedings.mlr.press/v162/lan22a/lan22a.pdf
a6945d36-f207-4ece-b48d-796b9c16ca7a,Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,icml.cc/media/icml-2022/Slides/17076.pdf,proceedings.mlr.press/v162/wiltzer22a/wiltzer22a.pdf
360f271e-9425-4237-90d1-a65277c040a7,Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling,icml.cc/media/icml-2022/Slides/17524_JaSq5IX.pdf,proceedings.mlr.press/v162/nguyen22b/nguyen22b.pdf
826a545c-0d31-48e8-8ba5-8dbec7d0c4d5,Controlling Conditional Language Models without Catastrophic Forgetting,icml.cc/media/icml-2022/Slides/16288_pIsVCHL.pdf,proceedings.mlr.press/v162/korbak22a/korbak22a.pdf
78d3d2f4-0186-48e1-8608-4c8162376d2e,Robust Models Are More Interpretable Because Attributions Look Normal,icml.cc/media/icml-2022/Slides/16004.pdf,proceedings.mlr.press/v162/wang22e/wang22e.pdf
9d3012dd-e29b-437e-9b1c-320eac5ea623,Sequential Covariate Shift Detection Using Classifier Two-Sample Tests,icml.cc/media/icml-2022/Slides/16272_jErbqSA.pdf,proceedings.mlr.press/v162/jang22a/jang22a.pdf
0fe205b2-c5e3-4acf-a24b-dbc4d486d4ed,A Difference Standardization Method for Mutual Transfer Learning,icml.cc/media/icml-2022/Slides/17526.pdf,proceedings.mlr.press/v162/xu22j/xu22j.pdf
ef117d65-36fd-481d-9e0d-d28cc67a180c,Latent Diffusion Energy-Based Model for Interpretable Text Modelling,icml.cc/media/icml-2022/Slides/17722_UKjsaZy.pdf,proceedings.mlr.press/v162/yu22h/yu22h.pdf
6afa0766-9660-4979-9df4-2f3c012be222,Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets,icml.cc/media/icml-2022/Slides/16042.pdf,proceedings.mlr.press/v162/chen22a/chen22a.pdf
9b0186ad-93a7-4a41-8e12-542d4cd63744,Smoothed Adversarial Linear Contextual Bandits with Knapsacks,icml.cc/media/icml-2022/Slides/17424.pdf,proceedings.mlr.press/v162/sivakumar22a/sivakumar22a.pdf
b7ba006b-4b19-418a-af44-2fc4c03d79d7,Fast Convex Optimization for Two-Layer ReLU Networks: Equivalent Model Classes and Cone Decompositions,icml.cc/media/icml-2022/Slides/16550.pdf,proceedings.mlr.press/v162/mishkin22a/mishkin22a.pdf
