uuid,title,slide_url,paper_url
6d426f92-6400-4618-bfa2-e8f611e1261d,Residual2Vec: Debiasing graph embedding with random graphs,nips.cc/media/neurips-2021/Slides/25965_OUgWLi8.pdf,openreview.net/pdf?id=Z9K7sds_-jC
264ee55f-340c-4927-a390-4ccf34fe4685,A Closer Look at the Worst-case Behavior of Multi-armed Bandit Algorithms,nips.cc/media/neurips-2021/Slides/28424.pdf,openreview.net/pdf?id=rC3zu-OqnII
956d563a-69be-460a-a51c-d6271a3e44dd,Graph Neural Networks with Local Graph  Parameters,nips.cc/media/neurips-2021/Slides/28409.pdf,openreview.net/pdf?id=yGKklt8wyV
21f37f86-ff0b-4270-b28f-6b4c52ba182a,Training for the Future: A Simple Gradient Interpolation Loss to Generalize Along Time,nips.cc/media/neurips-2021/Slides/27251.pdf,openreview.net/pdf?id=U7SBcmRf65
b9c6b7a4-b267-49c2-891f-6899485a4572,Subgaussian and Differentiable Importance Sampling for Off-Policy Evaluation and Learning,nips.cc/media/neurips-2021/Slides/28384.pdf,openreview.net/pdf?id=_8vCV7AxPZ
1bc657f3-6d46-4601-bbe5-92bcafa5a672,Fast Minimum-norm Adversarial Attacks through Adaptive Norm Constraints,nips.cc/media/neurips-2021/Slides/28131.pdf,openreview.net/pdf?id=jfDaBf8PAE
4648924d-2158-43a0-b0ba-f52100f6ae1b,MAU: A Motion-Aware Unit for Video Prediction and Beyond,nips.cc/media/neurips-2021/Slides/28391.pdf,openreview.net/pdf?id=qwtfY-3ibt7
39d2771c-ffb3-4245-9437-a2131e7fe84b,Improving Calibration through the Relationship with Adversarial Robustness,nips.cc/media/neurips-2021/Slides/27868.pdf,openreview.net/pdf?id=NJex-5TZIQa
2bf329a6-12c7-4061-8189-6abeaae18260,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,nips.cc/media/neurips-2021/Slides/26541.pdf,openreview.net/pdf?id=jlchsFOLfeF
b85f7aff-4d69-4a0b-bc98-0caf85cbee65,Linear-Time Probabilistic Solution of Boundary Value Problems,nips.cc/media/neurips-2021/Slides/27273.pdf,openreview.net/pdf?id=U9NNzquYEHC
