,titles,slides,papers
0,Amortized Conditional Normalized Maximum Likelihood: Reliable Out of Distribution Uncertainty Estimation,icml.cc/media/icml-2021/Slides/9306.pdf,proceedings.mlr.press/v139/zhou21b/zhou21b.pdf
1,GLSearch: Maximum Common Subgraph Detection via Learning to Search,icml.cc/media/icml-2021/Slides/10447.pdf,proceedings.mlr.press/v139/bai21e/bai21e.pdf
2,Dueling Convex Optimization,icml.cc/media/icml-2021/Slides/10441_NjI1bpw.pdf,proceedings.mlr.press/v139/saha21b/saha21b.pdf
3,Oops I Took A Gradient: Scalable Sampling for Discrete Distributions,icml.cc/media/icml-2021/Slides/9335.pdf,proceedings.mlr.press/v139/grathwohl21a/grathwohl21a.pdf
4,Slot Machines: Discovering Winning Combinations of Random Weights in Neural Networks,icml.cc/media/icml-2021/Slides/9155.pdf,proceedings.mlr.press/v139/aladago21a/aladago21a.pdf
5,Amortized Conditional Normalized Maximum Likelihood: Reliable Out of Distribution Uncertainty Estimation,icml.cc/media/icml-2021/Slides/9305.pdf,proceedings.mlr.press/v139/zhou21b/zhou21b.pdf
6,Learning Node Representations Using Stationary Flow Prediction on Large Payment and Cash Transaction Networks,icml.cc/media/icml-2021/Slides/9941.pdf,proceedings.mlr.press/v139/ceylan21a/ceylan21a.pdf
7,Sparsifying Networks via Subdifferential Inclusion,icml.cc/media/icml-2021/Slides/10671.pdf,proceedings.mlr.press/v139/verma21b/verma21b.pdf
8,Targeted Data Acquisition for Evolving Negotiation Agents,icml.cc/media/icml-2021/Slides/9211.pdf,proceedings.mlr.press/v139/kwon21a/kwon21a.pdf
9,Decentralized Riemannian Gradient Descent on the Stiefel Manifold,icml.cc/media/icml-2021/Slides/8405.pdf,proceedings.mlr.press/v139/chen21g/chen21g.pdf
10,Unsupervised Learning of Visual 3D Keypoints for Control,icml.cc/media/icml-2021/Slides/9719_cylzX8a.pdf,proceedings.mlr.press/v139/chen21b/chen21b.pdf
11,Diversity Actor-Critic: Sample-Aware Entropy Regularization for Sample-Efficient Exploration,icml.cc/media/icml-2021/Slides/10269.pdf,proceedings.mlr.press/v139/han21a/han21a.pdf
12,Winograd Algorithm for AdderNet,icml.cc/media/icml-2021/Slides/8909.pdf,proceedings.mlr.press/v139/li21c/li21c.pdf
13,Global Optimality Beyond Two Layers: Training Deep ReLU Networks via Convex Programs,icml.cc/media/icml-2021/Slides/10037.pdf,proceedings.mlr.press/v139/ergen21a/ergen21a.pdf
14,Provably Strict Generalisation Benefit for Equivariant Models,icml.cc/media/icml-2021/Slides/10385.pdf,proceedings.mlr.press/v139/elesedy21a/elesedy21a.pdf
15,Graph Mixture Density Networks,icml.cc/media/icml-2021/Slides/9631.pdf,proceedings.mlr.press/v139/errica21a/errica21a.pdf
16,Efficient Differentiable Simulation of Articulated Bodies,icml.cc/media/icml-2021/Slides/9049.pdf,proceedings.mlr.press/v139/qiao21a/qiao21a.pdf
17,Learning Curves for Analysis of Deep Networks,icml.cc/media/icml-2021/Slides/8899.pdf,proceedings.mlr.press/v139/hoiem21a/hoiem21a.pdf
18,Self-Tuning for Data-Efficient Deep Learning,icml.cc/media/icml-2021/Slides/8615.pdf,proceedings.mlr.press/v139/wang21g/wang21g.pdf
19,Grid-Functioned Neural Networks,icml.cc/media/icml-2021/Slides/9297.pdf,proceedings.mlr.press/v139/dehesa21a/dehesa21a.pdf
20,Learning Intra-Batch Connections for Deep Metric Learning,icml.cc/media/icml-2021/Slides/10237.pdf,proceedings.mlr.press/v139/seidenschwarz21a/seidenschwarz21a.pdf
21,Parameter-free Locally Accelerated Conditional Gradients,icml.cc/media/icml-2021/Slides/9511.pdf,proceedings.mlr.press/v139/carderera21a/carderera21a.pdf
22,PAGE: A Simple and Optimal Probabilistic Gradient Estimator for Nonconvex Optimization,icml.cc/media/icml-2021/Slides/8449.pdf,proceedings.mlr.press/v139/li21a/li21a.pdf
23,Learning Bounds for Open-Set Learning,icml.cc/media/icml-2021/Slides/9075.pdf,proceedings.mlr.press/v139/fang21c/fang21c.pdf
24,On the Random Conjugate Kernel and Neural Tangent Kernel,icml.cc/media/icml-2021/Slides/8463.pdf,proceedings.mlr.press/v139/hu21b/hu21b.pdf
25,Reinforcement Learning with Prototypical Representations,icml.cc/media/icml-2021/Slides/10423.pdf,proceedings.mlr.press/v139/yarats21a/yarats21a.pdf
26,Skill Discovery for Exploration and Planning using Deep Skill Graphs,icml.cc/media/icml-2021/Slides/9497.pdf,proceedings.mlr.press/v139/bagaria21a/bagaria21a.pdf
27,Positive-Negative Momentum: Manipulating Stochastic Gradient Noise to Improve Generalization,icml.cc/media/icml-2021/Slides/9629.pdf,proceedings.mlr.press/v139/xie21h/xie21h.pdf
28,Zoo-Tuning: Adaptive Transfer from A Zoo of Models,icml.cc/media/icml-2021/Slides/9887.pdf,proceedings.mlr.press/v139/shu21b/shu21b.pdf
29,UnICORNN: A recurrent model for learning very long time dependencies,icml.cc/media/icml-2021/Slides/10541.pdf,proceedings.mlr.press/v139/rusch21a/rusch21a.pdf
30,Poisson-Randomised DirBN: Large Mutation is Needed in Dirichlet Belief Networks,icml.cc/media/icml-2021/Slides/9425.pdf,proceedings.mlr.press/v139/fan21a/fan21a.pdf
31,Coach-Player Multi-agent Reinforcement Learning for Dynamic Team Composition,icml.cc/media/icml-2021/Slides/9723.pdf,proceedings.mlr.press/v139/liu21m/liu21m.pdf
