,titles,slides,papers
0,Understanding the Failure of Batch Normalization for Transformers in NLP,nips.cc/media/neurips-2022/Slides/54609.pdf,openreview.net/pdf?id=X8mmH03wFlD
1,Relation-Constrained Decoding for Text Generation,nips.cc/media/neurips-2022/Slides/54627.pdf,openreview.net/pdf?id=dIUQ5haSOI
2,Towards Diverse and Faithful One-shot Adaption of Generative Adversarial Networks,nips.cc/media/neurips-2022/Slides/54572.pdf,openreview.net/pdf?id=IXoHxXIGpyV
3,Fine-Grained Analysis of Stability and Generalization for Modern Meta Learning Algorithms,nips.cc/media/neurips-2022/Slides/54909.pdf,openreview.net/pdf?id=aAs8KTbZvc9
4,"ResT V2: Simpler, Faster and Stronger",nips.cc/media/neurips-2022/Slides/55300.pdf,openreview.net/pdf?id=2OdAggzzF3z
5,Accelerated Linearized Laplace Approximation for Bayesian Deep Learning,nips.cc/media/neurips-2022/Slides/54403.pdf,openreview.net/pdf?id=jftNpltMgz
6,Enhanced Latent Space Blind Model for Real Image Denoising via Alternative Optimization,nips.cc/media/neurips-2022/Slides/55211.pdf,openreview.net/pdf?id=Qt4rKNYzcO
7,"Personalized Federated Learning towards Communication Efficiency, Robustness and Fairness",nips.cc/media/neurips-2022/Slides/53283.pdf,openreview.net/pdf?id=wFymjzZEEkH
8,When to Trust Your Simulator: Dynamics-Aware Hybrid Offline-and-Online Reinforcement Learning,nips.cc/media/neurips-2022/Slides/54412_cZqONvG.pdf,openreview.net/pdf?id=zXE8iFOZKw
9,Distributed Online Convex Optimization with Compressed Communication,nips.cc/media/neurips-2022/Slides/53163.pdf,openreview.net/pdf?id=Vbj5H7-lKfs
10,Shadow Knowledge Distillation: Bridging Offline and Online Knowledge Transfer,nips.cc/media/neurips-2022/Slides/54241_jWqqC0f.pdf,openreview.net/pdf?id=prQT0gN81oG
11,Revisiting Realistic Test-Time Training: Sequential Inference and Adaptation by Anchored Clustering,nips.cc/media/neurips-2022/Slides/54603.pdf,openreview.net/pdf?id=W-_4hgRkwb
12,ComGAN: Unsupervised Disentanglement and Segmentation via Image Composition,nips.cc/media/neurips-2022/Slides/54645.pdf,openreview.net/pdf?id=0xbhGxgzd1t
13,A Unified Diversity Measure for Multiagent Reinforcement Learning,nips.cc/media/neurips-2022/Slides/55016_yHHgT64.pdf,openreview.net/pdf?id=H-6iczs__Ro
14,Efficient Graph Similarity Computation with Alignment Regularization,nips.cc/media/neurips-2022/Slides/53268.pdf,openreview.net/pdf?id=lblv6NGI7un
15,Neural Stochastic Control,nips.cc/media/neurips-2022/Slides/54199.pdf,openreview.net/pdf?id=5wI7gNopMHW
16,Mingling Foresight with Imagination: Model-Based Cooperative Multi-Agent Reinforcement Learning,nips.cc/media/neurips-2022/Slides/54321.pdf,openreview.net/pdf?id=flBYpZkW6ST
17,Quantized Training of Gradient Boosting Decision Trees,nips.cc/media/neurips-2022/Slides/53370.pdf,openreview.net/pdf?id=Cd-b50MZ0Gc
18,Byzantine-tolerant federated Gaussian process regression for streaming data,nips.cc/media/neurips-2022/Slides/53831.pdf,openreview.net/pdf?id=Nx4gNemvNvx
19,PointTAD: Multi-Label Temporal Action Detection with Learnable Query Points,nips.cc/media/neurips-2022/Slides/55101_JjzRFOP.pdf,openreview.net/pdf?id=_r8pCrHwq39
20,FNeVR: Neural Volume Rendering for Face Animation,nips.cc/media/neurips-2022/Slides/54805_xsehEyR.pdf,openreview.net/pdf?id=7HTEHRMlxYH
21,BLOX: Macro Neural Architecture Search Benchmark and Algorithms,nips.cc/media/neurips-2022/Slides/55668.pdf,openreview.net/pdf?id=IIbJ9m5G73t
22,GenerSpeech: Towards Style Transfer for Generalizable Out-Of-Domain Text-to-Speech,nips.cc/media/neurips-2022/Slides/54425.pdf,openreview.net/pdf?id=dmCyoqxEwHf
23,Forecasting Human Trajectory from Scene History,nips.cc/media/neurips-2022/Slides/54792.pdf,openreview.net/pdf?id=RW-OOBU11xl
24,Estimating Noise Transition Matrix with Label Correlations for Noisy Multi-Label Learning,nips.cc/media/neurips-2022/Slides/55359_TFK6nKT.pdf,openreview.net/pdf?id=GwXrGy_vc8m
25,Product Ranking for Revenue Maximization with Multiple Purchases,nips.cc/media/neurips-2022/Slides/55304.pdf,openreview.net/pdf?id=wxWTyJtiJZ
26,Surprise Minimizing Multi-Agent Learning with Energy-based Models,nips.cc/media/neurips-2022/Slides/54138.pdf,openreview.net/pdf?id=vkhYWVtfcSQ
27,Estimating graphical models for count data with applications to single-cell gene network,nips.cc/media/neurips-2022/Slides/54586.pdf,openreview.net/pdf?id=7k_J2kkIy3U
28,Multi-view Subspace Clustering on Topological Manifold,nips.cc/media/neurips-2022/Slides/54391.pdf,openreview.net/pdf?id=ECQ-O1q0saD
29,Contextual Bandits with Knapsacks for a Conversion Model,nips.cc/media/neurips-2022/Slides/54788_Wln1qHy.pdf,openreview.net/pdf?id=OoN6TVb4Vkq
