,index,title,slide_url,paper_url,filename
0,0,Domain Generalization with MixStyle,iclr.cc/media/iclr-2021/Slides/2738.pdf,openreview.net/pdf?id=6xHJ37MVxxp,0.pdf
1,1,Wasserstein-2 Generative Networks,iclr.cc/media/iclr-2021/Slides/2664.pdf,openreview.net/pdf?id=bEoxzW_EXsa,1.pdf
2,2,Neural Jump Ordinary Differential Equations: Consistent Continuous-Time Prediction and Filtering,iclr.cc/media/iclr-2021/Slides/3339.pdf,openreview.net/pdf?id=JFKR3WqwyXR,2.pdf
3,3,QPLEX: Duplex Dueling Multi-Agent Q-Learning,iclr.cc/media/iclr-2021/Slides/3237.pdf,openreview.net/pdf?id=Rcmk0xxIQV,3.pdf
4,4,Mutual Information State Intrinsic Control,iclr.cc/media/iclr-2021/Slides/2723.pdf,openreview.net/pdf?id=OthEq8I5v1,4.pdf
5,5,Does enhanced shape bias improve neural network robustness to common corruptions?,iclr.cc/media/iclr-2021/Slides/3235.pdf,openreview.net/pdf?id=yUxUNaj2Sl,5.pdf
6,6,SALD: Sign Agnostic Learning with Derivatives,iclr.cc/media/iclr-2021/Slides/3221.pdf,openreview.net/pdf?id=7EDgLu9reQD,6.pdf
7,7,Isometric Transformation Invariant and Equivariant Graph Convolutional Networks,iclr.cc/media/iclr-2021/Slides/3192.pdf,openreview.net/pdf?id=FX0vR39SJ5q,7.pdf
8,8,Wasserstein Embedding for Graph Learning,iclr.cc/media/iclr-2021/Slides/3182.pdf,openreview.net/pdf?id=AAes_3W-2z,8.pdf
9,9,Learning N:M  Fine-grained Structured Sparse Neural Networks From Scratch,iclr.cc/media/iclr-2021/Slides/3174.pdf,openreview.net/pdf?id=K9bw7vqp_s,9.pdf
10,10,LEAF: A Learnable Frontend for Audio Classification,iclr.cc/media/iclr-2021/Slides/2668.pdf,openreview.net/pdf?id=jM76BCb6F9m,10.pdf
11,11,Gauge Equivariant Mesh CNNs: Anisotropic convolutions on geometric graphs,iclr.cc/media/iclr-2021/Slides/3367.pdf,openreview.net/pdf?id=Jnspzp-oIZE,11.pdf
12,12,Towards Robust Neural Networks via Close-loop Control,iclr.cc/media/iclr-2021/Slides/2963.pdf,openreview.net/pdf?id=2AL06y9cDE-,12.pdf
13,13,Randomized Ensembled Double Q-Learning: Learning Fast Without a Model,iclr.cc/media/iclr-2021/Slides/3320.pdf,openreview.net/pdf?id=AY8zfZm0tDd,13.pdf
14,14,Rapid Neural Architecture Search by Learning to Generate Graphs from Datasets,iclr.cc/media/iclr-2021/Slides/3142.pdf,openreview.net/pdf?id=rkQuFUmUOg3,14.pdf
15,15,A Good Image Generator Is What You Need for High-Resolution Video Synthesis,iclr.cc/media/iclr-2021/Slides/2810.pdf,openreview.net/pdf?id=6puCSjH3hwA,15.pdf
16,16,PSTNet: Point Spatio-Temporal Convolution on Point Cloud Sequences,iclr.cc/media/iclr-2021/Slides/3101.pdf,openreview.net/pdf?id=O3bqkf_Puys,16.pdf
17,17,WaNet - Imperceptible Warping-based Backdoor Attack,iclr.cc/media/iclr-2021/Slides/3087.pdf,openreview.net/pdf?id=eEn8KTtJOx,17.pdf
18,18,Implicit Normalizing Flows,iclr.cc/media/iclr-2021/Slides/2983.pdf,openreview.net/pdf?id=8PS8m9oYtNy,18.pdf
19,19,Progressive Skeletonization: Trimming more fat from a network at initialization,iclr.cc/media/iclr-2021/Slides/2957.pdf,openreview.net/pdf?id=9GsFOUyUPi,19.pdf
20,20,SaliencyMix: A Saliency Guided Data Augmentation Strategy for Better Regularization,iclr.cc/media/iclr-2021/Slides/2986.pdf,openreview.net/pdf?id=-M0QkvBGTTq,20.pdf
21,21,On the Universality of the Double Descent Peak in Ridgeless Regression,iclr.cc/media/iclr-2021/Slides/2611.pdf,openreview.net/pdf?id=0IO5VdnSAaH,21.pdf
22,22,Rethinking the Role of Gradient-based Attribution Methods for Model Interpretability,iclr.cc/media/iclr-2021/Slides/2943.pdf,openreview.net/pdf?id=dYeAHXnpWJ4,22.pdf
23,23,What Can You Learn From Your Muscles? Learning Visual Representation from Human Interactions,iclr.cc/media/iclr-2021/Slides/2586.pdf,openreview.net/pdf?id=Qm8UNVCFdh,23.pdf
24,24,Scaling Symbolic Methods using Gradients for Neural Model Explanation,iclr.cc/media/iclr-2021/Slides/2581.pdf,openreview.net/pdf?id=V5j-jdoDDP,24.pdf
25,25,Shape-Texture Debiased Neural Network Training,iclr.cc/media/iclr-2021/Slides/2870.pdf,openreview.net/pdf?id=Db4yerZTYkz,25.pdf
26,26,Multi-Time Attention Networks for Irregularly Sampled Time Series,iclr.cc/media/iclr-2021/Slides/2703.pdf,openreview.net/pdf?id=4c0J6lwQ4_,26.pdf
27,27,"On the Stability of Fine-tuning BERT: Misconceptions, Explanations, and Strong Baselines",iclr.cc/media/iclr-2021/Slides/2558.pdf,openreview.net/pdf?id=nzpLWnVAyah,27.pdf
28,28,The Traveling Observer Model: Multi-task Learning Through Spatial Variable Embeddings,iclr.cc/media/iclr-2021/Slides/3007.pdf,openreview.net/pdf?id=qYda4oLEc1,28.pdf
29,29,Universal approximation power of deep residual neural networks via nonlinear control theory,iclr.cc/media/iclr-2021/Slides/3010.pdf,openreview.net/pdf?id=-IXhmY16R3M,29.pdf
30,30,Plan-Based Relaxed Reward Shaping for Goal-Directed Tasks,iclr.cc/media/iclr-2021/Slides/3020.pdf,openreview.net/pdf?id=w2Z2OwVNeK,30.pdf
31,31,Single-Photon Image Classification,iclr.cc/media/iclr-2021/Slides/3024.pdf,openreview.net/pdf?id=CHLhSw9pSw8,31.pdf
32,32,Training GANs with Stronger Augmentations via Contrastive Discriminator,iclr.cc/media/iclr-2021/Slides/2840.pdf,openreview.net/pdf?id=eo6U4CAwVmg,32.pdf
33,33,Language-Agnostic Representation Learning of Source Code from Structure and Context,iclr.cc/media/iclr-2021/Slides/2838.pdf,openreview.net/pdf?id=Xh5eMZVONGF,33.pdf
34,34,MoVie: Revisiting Modulated Convolutions for Visual Counting and Beyond,iclr.cc/media/iclr-2021/Slides/3071.pdf,openreview.net/pdf?id=8e6BrwU6AjQ,34.pdf
35,35,Revisiting Few-sample BERT Fine-tuning,iclr.cc/media/iclr-2021/Slides/2678.pdf,openreview.net/pdf?id=cO1IH43yUF,35.pdf
36,36,Overparameterisation and worst-case generalisation: friend or foe?,iclr.cc/media/iclr-2021/Slides/2683.pdf,openreview.net/pdf?id=jphnJNOwe36,36.pdf
