,index,title,slide_url,paper_url,filename
0,0,Exact Optimal Accelerated Complexity for Fixed-Point Iterations,icml.cc/media/icml-2022/Slides/17040_tMvH5zY.pdf,proceedings.mlr.press/v162/park22c/park22c.pdf,0.pdf
1,1,Online Learning for Min Sum Set Cover and Pandora’s Box,icml.cc/media/icml-2022/Slides/17418.pdf,proceedings.mlr.press/v162/gergatsouli22a/gergatsouli22a.pdf,1.pdf
2,2,Tackling covariate shift with node-based Bayesian neural networks,icml.cc/media/icml-2022/Slides/17368_nXMQMZ0.pdf,proceedings.mlr.press/v162/trinh22a/trinh22a.pdf,2.pdf
3,3,Dynamic Regret of Online Markov Decision Processes,icml.cc/media/icml-2022/Slides/17646.pdf,proceedings.mlr.press/v162/zhao22c/zhao22c.pdf,3.pdf
4,4,Multi-Task Learning as a Bargaining Game,icml.cc/media/icml-2022/Slides/17114.pdf,proceedings.mlr.press/v162/navon22a/navon22a.pdf,4.pdf
5,5,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,icml.cc/media/icml-2022/Slides/16224.pdf,proceedings.mlr.press/v162/liang22b/liang22b.pdf,5.pdf
6,6,Structural Entropy Guided Graph Hierarchical Pooling,icml.cc/media/icml-2022/Slides/15960.pdf,proceedings.mlr.press/v162/wu22b/wu22b.pdf,6.pdf
7,7,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games,icml.cc/media/icml-2022/Slides/17014.pdf,proceedings.mlr.press/v162/loftin22a/loftin22a.pdf,7.pdf
8,8,ButterflyFlow: Building Invertible Layers with Butterfly Matrices,icml.cc/media/icml-2022/Slides/16920.pdf,proceedings.mlr.press/v162/meng22a/meng22a.pdf,8.pdf
9,9,Frustratingly Easy Transferability Estimation,icml.cc/media/icml-2022/Slides/17386.pdf,proceedings.mlr.press/v162/huang22d/huang22d.pdf,9.pdf
10,10,Self-Supervised Representation Learning via Latent Graph Prediction,icml.cc/media/icml-2022/Slides/15996.pdf,proceedings.mlr.press/v162/xie22e/xie22e.pdf,10.pdf
11,11,DSTAGNN: Dynamic Spatial-Temporal Aware Graph Neural Network for Traffic Flow Forecasting,icml.cc/media/icml-2022/Slides/16008.pdf,proceedings.mlr.press/v162/lan22a/lan22a.pdf,11.pdf
12,12,Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,icml.cc/media/icml-2022/Slides/17076.pdf,proceedings.mlr.press/v162/wiltzer22a/wiltzer22a.pdf,12.pdf
13,13,Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling,icml.cc/media/icml-2022/Slides/17524_JaSq5IX.pdf,proceedings.mlr.press/v162/nguyen22b/nguyen22b.pdf,13.pdf
14,14,Controlling Conditional Language Models without Catastrophic Forgetting,icml.cc/media/icml-2022/Slides/16288_pIsVCHL.pdf,proceedings.mlr.press/v162/korbak22a/korbak22a.pdf,14.pdf
15,15,Robust Models Are More Interpretable Because Attributions Look Normal,icml.cc/media/icml-2022/Slides/16004.pdf,proceedings.mlr.press/v162/wang22e/wang22e.pdf,15.pdf
16,16,Sequential Covariate Shift Detection Using Classifier Two-Sample Tests,icml.cc/media/icml-2022/Slides/16272_jErbqSA.pdf,proceedings.mlr.press/v162/jang22a/jang22a.pdf,16.pdf
