,index,title,slide_url,paper_url,filename
0,0,Residual2Vec: Debiasing graph embedding with random graphs,nips.cc/media/neurips-2021/Slides/25965_OUgWLi8.pdf,openreview.net/pdf?id=Z9K7sds_-jC,0.pdf
1,1,A Closer Look at the Worst-case Behavior of Multi-armed Bandit Algorithms,nips.cc/media/neurips-2021/Slides/28424.pdf,openreview.net/pdf?id=rC3zu-OqnII,1.pdf
2,2,Graph Neural Networks with Local Graph  Parameters,nips.cc/media/neurips-2021/Slides/28409.pdf,openreview.net/pdf?id=yGKklt8wyV,2.pdf
3,3,Training for the Future: A Simple Gradient Interpolation Loss to Generalize Along Time,nips.cc/media/neurips-2021/Slides/27251.pdf,openreview.net/pdf?id=U7SBcmRf65,3.pdf
4,4,Subgaussian and Differentiable Importance Sampling for Off-Policy Evaluation and Learning,nips.cc/media/neurips-2021/Slides/28384.pdf,openreview.net/pdf?id=_8vCV7AxPZ,4.pdf
5,5,Fast Minimum-norm Adversarial Attacks through Adaptive Norm Constraints,nips.cc/media/neurips-2021/Slides/28131.pdf,openreview.net/pdf?id=jfDaBf8PAE,5.pdf
6,6,MAU: A Motion-Aware Unit for Video Prediction and Beyond,nips.cc/media/neurips-2021/Slides/28391.pdf,openreview.net/pdf?id=qwtfY-3ibt7,6.pdf
7,7,Improving Calibration through the Relationship with Adversarial Robustness,nips.cc/media/neurips-2021/Slides/27868.pdf,openreview.net/pdf?id=NJex-5TZIQa,7.pdf
8,8,Invariance Principle Meets Information Bottleneck for Out-of-Distribution Generalization,nips.cc/media/neurips-2021/Slides/26541.pdf,openreview.net/pdf?id=jlchsFOLfeF,8.pdf
9,9,Linear-Time Probabilistic Solution of Boundary Value Problems,nips.cc/media/neurips-2021/Slides/27273.pdf,openreview.net/pdf?id=U9NNzquYEHC,9.pdf
10,10,Validation Free and Replication Robust Volume-based Data Valuation,nips.cc/media/neurips-2021/Slides/27758.pdf,openreview.net/pdf?id=YLzoHUlf_k,10.pdf
11,11,Qimera: Data-free Quantization with Synthetic Boundary Supporting Samples,nips.cc/media/neurips-2021/Slides/27374.pdf,openreview.net/pdf?id=ejo1_Weiart,11.pdf
12,12,Adversarial Attacks on Black Box Video Classifiers: Leveraging the Power of Geometric Transformations,nips.cc/media/neurips-2021/Slides/27235.pdf,openreview.net/pdf?id=-7EhrbfbK31,12.pdf
13,13,$\texttt{LeadCache}$: Regret-Optimal Caching in Networks,nips.cc/media/neurips-2021/Slides/28203.pdf,openreview.net/pdf?id=yrmvFIh_e5o,13.pdf
14,14,Non-local Latent Relation Distillation for Self-Adaptive 3D Human Pose Estimation,nips.cc/media/neurips-2021/Slides/26641.pdf,openreview.net/pdf?id=AIQOddM5Xm,14.pdf
15,15,The decomposition of the higher-order homology embedding constructed from the $k$-Laplacian,nips.cc/media/neurips-2021/Slides/28178_zNBo9vr.pdf,openreview.net/pdf?id=026hEw26i3-,15.pdf
16,16,Bayesian Optimization with High-Dimensional Outputs,nips.cc/media/neurips-2021/Slides/27344.pdf,openreview.net/pdf?id=vDo__0UwFNo,16.pdf
17,17,Aligning Silhouette Topology for Self-Adaptive 3D Human Pose Recovery,nips.cc/media/neurips-2021/Slides/26665.pdf,openreview.net/pdf?id=rsNBA9gtDf4,17.pdf
18,18,On Provable Benefits of Depth in Training Graph Convolutional Networks,nips.cc/media/neurips-2021/Slides/26677.pdf,openreview.net/pdf?id=r-oRRT-ElX,18.pdf
19,19,H-NeRF: Neural Radiance Fields for Rendering and Temporal Reconstruction of Humans in Motion,nips.cc/media/neurips-2021/Slides/26747.pdf,openreview.net/pdf?id=s-NI4H4e3Rf,19.pdf
20,20,Computer-Aided Design as Language,nips.cc/media/neurips-2021/Slides/26768.pdf,openreview.net/pdf?id=z-X_PpwaroO,20.pdf
21,21,Random Noise Defense Against Query-Based Black-Box Attacks,nips.cc/media/neurips-2021/Slides/27754.pdf,openreview.net/pdf?id=ZPSD4xZc6j8,21.pdf
22,22,Compressive Visual Representations,nips.cc/media/neurips-2021/Slides/26759.pdf,openreview.net/pdf?id=ZYX1ff6H0Bs,22.pdf
23,23,Escape saddle points by a simple gradient-descent based algorithm,nips.cc/media/neurips-2021/Slides/26393.pdf,openreview.net/pdf?id=lEf52hTHq0Q,23.pdf
24,24,Human-Adversarial Visual Question Answering,nips.cc/media/neurips-2021/Slides/26315.pdf,openreview.net/pdf?id=vsCCDVdTAx,24.pdf
25,25,Deep Reinforcement Learning at the Edge of the Statistical Precipice,nips.cc/media/neurips-2021/Slides/26712.pdf,openreview.net/pdf?id=uqv8-U4lKBe,25.pdf
26,26,Gradient-based Hyperparameter Optimization Over Long Horizons,nips.cc/media/neurips-2021/Slides/28059.pdf,openreview.net/pdf?id=6x8tcREIL2W,26.pdf
27,27,NeRS: Neural Reflectance Surfaces for Sparse-view 3D Reconstruction in the Wild,nips.cc/media/neurips-2021/Slides/27816.pdf,openreview.net/pdf?id=MudT1U2eIY,27.pdf
28,28,On UMAP's True Loss Function,nips.cc/media/neurips-2021/Slides/28679.pdf,openreview.net/pdf?id=DKRcikndMGC,28.pdf
29,29,Factored Policy Gradients: Leveraging Structure for Efficient Learning in MOMDPs,nips.cc/media/neurips-2021/Slides/27553.pdf,openreview.net/pdf?id=NXGnwTLlWiR,29.pdf
30,30,A Universal Law of Robustness via Isoperimetry,nips.cc/media/neurips-2021/Slides/27813.pdf,openreview.net/pdf?id=z71OSKqTFh7,30.pdf
31,31,Skipping the Frame-Level: Event-Based Piano Transcription With Neural Semi-CRFs,nips.cc/media/neurips-2021/Slides/25930.pdf,openreview.net/pdf?id=DGA8XbJ8FVd,31.pdf
32,32,Robust and Fully-Dynamic Coreset for Continuous-and-Bounded Learning (With Outliers) Problems,nips.cc/media/neurips-2021/Slides/26631.pdf,openreview.net/pdf?id=we8d1FjibAc,32.pdf
33,33,Dynamic Bottleneck for Robust Self-Supervised Exploration,nips.cc/media/neurips-2021/Slides/28749.pdf,openreview.net/pdf?id=-t6TeG3A6Do,33.pdf
34,34,Multi-Armed Bandits with Bounded Arm-Memory: Near-Optimal Guarantees for Best-Arm Identification and Regret Minimization,nips.cc/media/neurips-2021/Slides/28714.pdf,openreview.net/pdf?id=sKWgT8WppC3,34.pdf
35,35,Cardinality-Regularized Hawkes-Granger Model,nips.cc/media/neurips-2021/Slides/27855_O3GiVn6.pdf,openreview.net/pdf?id=gkyg2aOE6MU,35.pdf
36,36,DOCTOR: A Simple Method for Detecting Misclassification Errors,nips.cc/media/neurips-2021/Slides/28016.pdf,openreview.net/pdf?id=FHQBDiMwvK,36.pdf
37,37,A novel notion of barycenter for probability distributions based on optimal weak mass transport,nips.cc/media/neurips-2021/Slides/28652.pdf,openreview.net/pdf?id=PwVruv8s3_Q,37.pdf
38,38,Confident Anchor-Induced Multi-Source Free Domain Adaptation,nips.cc/media/neurips-2021/Slides/28641.pdf,openreview.net/pdf?id=EAdJEN8xKUl,38.pdf
39,39,Temporally Abstract Partial Models,nips.cc/media/neurips-2021/Slides/26609.pdf,openreview.net/pdf?id=LGvlCcMgWqb,39.pdf
40,40,Implicit Semantic Response Alignment for Partial Domain Adaptation,nips.cc/media/neurips-2021/Slides/28626.pdf,openreview.net/pdf?id=LNXTIrMqyGz,40.pdf
41,41,Memory Efficient Meta-Learning with Large Images,nips.cc/media/neurips-2021/Slides/27033.pdf,openreview.net/pdf?id=x2pF7Tt_S5u,41.pdf
42,42,A unified framework for bandit multiple testing,nips.cc/media/neurips-2021/Slides/27044_LbJfpiK.pdf,openreview.net/pdf?id=0fPgXqP1Mq,42.pdf
43,43,SyncTwin: Treatment Effect Estimation with Longitudinal Outcomes,nips.cc/media/neurips-2021/Slides/27560.pdf,openreview.net/pdf?id=52YubM-VC6H,43.pdf
44,44,The Inductive Bias of Quantum Kernels,nips.cc/media/neurips-2021/Slides/27858.pdf,openreview.net/pdf?id=iNqrOCPRmYQ,44.pdf
45,45,The Many Faces of Adversarial Risk,nips.cc/media/neurips-2021/Slides/28046.pdf,openreview.net/pdf?id=-8QSntMuqBV,45.pdf
46,46,"Provable Model-based Nonlinear Bandit and Reinforcement Learning: Shelve Optimism, Embrace Virtual Curvature",nips.cc/media/neurips-2021/Slides/28584.pdf,openreview.net/pdf?id=eOEs9Wa91qH,46.pdf
47,47,Challenges and Opportunities in High Dimensional Variational Inference,nips.cc/media/neurips-2021/Slides/28575.pdf,openreview.net/pdf?id=_A4-JP8d_f,47.pdf
